filename,split,width,height,aspect_ratio,is_corrupt,blur_laplacian_variance,brightness_mean,contrast_std,num_boxes,is_healthy_negative,contained_classes
BudRootDropping009.jpg,train,768,1024,0.75,False,463.27,131.17,59.64,1,False,['bud root dropping']
BudRootDropping010.jpg,train,768,1024,0.75,False,1847.04,120.46,64.11,1,False,['bud root dropping']
BudRootDropping011.jpg,train,768,1024,0.75,False,647.0,118.95,61.45,1,False,['bud root dropping']
BudRootDropping012.jpg,train,768,1024,0.75,False,470.55,123.58,59.37,1,False,['bud root dropping']
BudRootDropping013.jpg,train,768,1024,0.75,False,452.49,136.23,62.22,1,False,['bud root dropping']
BudRootDropping014.jpg,train,768,1024,0.75,False,743.45,140.68,67.41,1,False,['bud root dropping']
BudRootDropping015.jpg,train,768,1024,0.75,False,1142.05,137.41,70.96,1,False,['bud root dropping']
BudRootDropping016.jpg,train,768,1024,0.75,False,481.79,133.82,71.9,1,False,['bud root dropping']
BudRot004.jpg,train,768,1024,0.75,False,613.52,115.31,44.68,1,False,['bud rot']
BudRot005.jpg,train,768,1024,0.75,False,619.19,115.25,44.36,1,False,['bud rot']
BudRot006.jpg,train,768,1024,0.75,False,709.69,114.81,44.35,1,False,['bud rot']
BudRot007.jpg,train,768,1024,0.75,False,687.46,115.5,45.09,1,False,['bud rot']
BudRot008.jpg,train,768,1024,0.75,False,773.59,116.93,45.86,1,False,['bud rot']
BudRot009.jpg,train,768,1024,0.75,False,605.4,117.97,45.78,1,False,['bud rot']
BudRot010.jpg,train,768,1024,0.75,False,522.69,118.29,45.76,1,False,['bud rot']
BudRot013.jpg,train,768,1024,0.75,False,579.36,119.28,46.3,1,False,['bud rot']
BudRot014.jpg,train,768,1024,0.75,False,633.57,120.03,46.33,1,False,['bud rot']
BudRot016.jpg,train,768,1024,0.75,False,615.07,119.48,45.6,1,False,['bud rot']
BudRot017.jpg,train,768,1024,0.75,False,791.57,118.99,46.0,1,False,['bud rot']
BudRot018.jpg,train,768,1024,0.75,False,680.29,120.74,46.42,1,False,['bud rot']
BudRot019.jpg,train,768,1024,0.75,False,434.92,119.85,45.98,1,False,['bud rot']
BudRot020.jpg,train,768,1024,0.75,False,429.9,117.46,45.72,1,False,['bud rot']
GrayLeafSpot001.jpg,train,768,1024,0.75,False,106.65,93.69,47.13,2,False,['gray leaf spot']
GrayLeafSpot002.jpg,train,768,1024,0.75,False,148.03,92.1,47.57,2,False,['gray leaf spot']
GrayLeafSpot003.jpg,train,768,1024,0.75,False,167.52,90.76,47.94,2,False,['gray leaf spot']
GrayLeafSpot004.jpg,train,768,1024,0.75,False,204.08,91.12,48.89,2,False,['gray leaf spot']
GrayLeafSpot005.jpg,train,768,1024,0.75,False,59.75,97.35,46.42,2,False,['gray leaf spot']
GrayLeafSpot006.jpg,train,768,1024,0.75,False,43.11,94.2,45.98,2,False,['gray leaf spot']
GrayLeafSpot007.jpg,train,768,1024,0.75,False,33.86,94.84,44.27,2,False,['gray leaf spot']
GrayLeafSpot008.jpg,train,768,1024,0.75,False,27.69,98.8,42.93,2,False,['gray leaf spot']
GrayLeafSpot010.jpg,train,768,1024,0.75,False,35.43,110.8,43.43,2,False,['gray leaf spot']
GrayLeafSpot012.jpg,train,768,1024,0.75,False,33.0,105.15,43.18,2,False,['gray leaf spot']
GrayLeafSpot013.jpg,train,768,1024,0.75,False,13.55,102.05,40.62,2,False,['gray leaf spot']
