image_id,source_path,disease_class,class_id,split,image_sha256,annotator_A_status,annotator_A_path,annotator_B_status,annotator_B_path,qc_status,final_mask_path,acceptance_status,review_notes
BudRootDropping001.jpg,data/external/phase_9_segmentation/images/BudRootDropping001.jpg,bud root dropping,0,val,8721bae7918847643263177bd7cb71edc53cd300bd617383f7fbf70da898d339,PENDING,NONE,PENDING,NONE,PENDING,NONE,PENDING,Awaiting certified human manual polygon delineation
BudRootDropping002.jpg,data/external/phase_9_segmentation/images/BudRootDropping002.jpg,bud root dropping,0,val,ea270f34e4b812a7bf726ad67ec80820e56b58db3577773134c3a54ef2388ed4,PENDING,NONE,PENDING,NONE,PENDING,NONE,PENDING,Awaiting certified human manual polygon delineation
BudRootDropping003.jpg,data/external/phase_9_segmentation/images/BudRootDropping003.jpg,bud root dropping,0,val,b1e83eb0c0b9470ae960ac11e03f727e594b651b4a1867e45faeaa1c4423768b,PENDING,NONE,PENDING,NONE,PENDING,NONE,PENDING,Awaiting certified human manual polygon delineation
BudRootDropping004.jpg,data/external/phase_9_segmentation/images/BudRootDropping004.jpg,bud root dropping,0,val,8b45d36694347695346d457276e9f3b961785e51165253320a92c0ccde12e012,PENDING,NONE,PENDING,NONE,PENDING,NONE,PENDING,Awaiting certified human manual polygon delineation
BudRootDropping005.jpg,data/external/phase_9_segmentation/images/BudRootDropping005.jpg,bud root dropping,0,val,db7fb1a828faf7a0c38d95a885d0908aa7df9dc1735124c7c2b555e2799e5d86,PENDING,NONE,PENDING,NONE,PENDING,NONE,PENDING,Awaiting certified human manual polygon delineation
BudRootDropping006.jpg,data/external/phase_9_segmentation/images/BudRootDropping006.jpg,bud root dropping,0,val,81b5e55bcc5e1ffc510f86b963a1a0a6613c1d3d21555615e0e803be5b5967b9,PENDING,NONE,PENDING,NONE,PENDING,NONE,PENDING,Awaiting certified human manual polygon delineation
BudRootDropping007.jpg,data/external/phase_9_segmentation/images/BudRootDropping007.jpg,bud root dropping,0,val,25ff219e2a2737ef658fa7eab042487e4f1c9cb2e9e60eb0b196ae6a4f5f2028,PENDING,NONE,PENDING,NONE,PENDING,NONE,PENDING,Awaiting certified human manual polygon delineation
BudRootDropping008.jpg,data/external/phase_9_segmentation/images/BudRootDropping008.jpg,bud root dropping,0,val,9ee917c28b30c3629449aba948bd2816f18e8d87c8bf6cc49c650391439e16d0,PENDING,NONE,PENDING,NONE,PENDING,NONE,PENDING,Awaiting certified human manual polygon delineation
BudRootDropping009.jpg,data/external/phase_9_segmentation/images/BudRootDropping009.jpg,bud root dropping,0,train,feb74a6e83d2dc5f63d6add91a103223bf176cfc20c3563affa3a90541cd0fb9,PENDING,NONE,PENDING,NONE,PENDING,NONE,PENDING,Awaiting certified human manual polygon delineation
BudRootDropping010.jpg,data/external/phase_9_segmentation/images/BudRootDropping010.jpg,bud root dropping,0,train,94c1c2d6fb90b30d1d221f92dc8de32d927f5eccc3340ad227d48bc8db8b8397,PENDING,NONE,PENDING,NONE,PENDING,NONE,PENDING,Awaiting certified human manual polygon delineation
