file_name,original_title,source_url,wikimedia_page,dataset_name,creator,license,resolution,sha256,commercial_research_allowed,download_date,provenance_status
healthy_coconut_001.jpg,File:1859-Martinique.web.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7a/1859-Martinique.web.jpg,https://commons.wikimedia.org/wiki/File%3A1859-Martinique.web.jpg,Wikimedia Commons / Cocos nucifera,"Patrick Verdier, Free On Line Photos",Copyrighted free use,788x1200,e2d966c01d69a984a13b228aa52b6e15d06e05917a697b60bd2eecb4c2df06eb,YES (per CC/Public Domain license),2026-09-20 03:50:28 UTC,VERIFIED_HEALTHY_PALM_FOLIAGE
healthy_coconut_002.jpg,File:Arecales - Cocos nucifera - 11.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/Arecales_-_Cocos_nucifera_-_11.jpg,https://commons.wikimedia.org/wiki/File%3AArecales%20-%20Cocos%20nucifera%20-%2011.jpg,Wikimedia Commons / Cocos nucifera,Emőke Dénes,CC BY-SA 4.0,1280x960,e478612e5e0d7ba27763717290ed068f06bf492254d62e3f0b8d60ba2a1dfd99,YES (per CC/Public Domain license),2026-09-20 03:50:28 UTC,VERIFIED_HEALTHY_PALM_FOLIAGE
healthy_coconut_003.jpg,File:Arecales - Cocos nucifera - 12.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fc/Arecales_-_Cocos_nucifera_-_12.jpg,https://commons.wikimedia.org/wiki/File%3AArecales%20-%20Cocos%20nucifera%20-%2012.jpg,Wikimedia Commons / Cocos nucifera,Emőke Dénes,CC BY-SA 4.0,1280x1707,d33417ec80ce3f9593790809aa56bb5e33c2ba9d5fb10491055e420c4aff0a71,YES (per CC/Public Domain license),2026-09-20 03:50:28 UTC,VERIFIED_HEALTHY_PALM_FOLIAGE
healthy_coconut_004.jpg,File:Coconut Palm Cola Bay Goa Jan19 DSC00303.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fb/Coconut_Palm_Cola_Bay_Goa_Jan19_DSC00303.jpg,https://commons.wikimedia.org/wiki/File%3ACoconut%20Palm%20Cola%20Bay%20Goa%20Jan19%20DSC00303.jpg,Wikimedia Commons / Cocos nucifera,This Photo was taken by Timothy A. Gonsalves.  Feel free to ,CC BY-SA 4.0,1280x1919,79b7259197ec9d169653393aece0b7973bffc013ae870bf89d7d51a470a2790e,YES (per CC/Public Domain license),2026-09-20 03:50:28 UTC,VERIFIED_HEALTHY_PALM_FOLIAGE
healthy_coconut_005.jpg,File:Coconut Tree.JPG,https://upload.wikimedia.org/wikipedia/commons/f/f9/Coconut_Tree.JPG,https://commons.wikimedia.org/wiki/File%3ACoconut%20Tree.JPG,Wikimedia Commons / Cocos nucifera,Anoopan at Malayalam Wikipedia,CC BY 3.0,1280x960,d47ba89d0e6dd8207eccf6db1047bd75e8a25019aad090d046727452f90fc400,YES (per CC/Public Domain license),2026-09-20 03:50:28 UTC,VERIFIED_HEALTHY_PALM_FOLIAGE
healthy_coconut_006.jpg,File:Coconut Tree 1.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ed/Coconut_Tree_1.jpg,https://commons.wikimedia.org/wiki/File%3ACoconut%20Tree%201.jpg,Wikimedia Commons / Cocos nucifera,Muminur Rahman,CC BY-SA 3.0,1200x1600,80cef70b35ff60ca89bbba03984c1fbf821d08cbdcb5dfe0a3173ff44bdd558c,YES (per CC/Public Domain license),2026-09-20 03:50:28 UTC,VERIFIED_HEALTHY_PALM_FOLIAGE
healthy_coconut_007.jpg,File:Coconut Tree On Beach in Barbados.jpg,https://upload.wikimedia.org/wikipedia/commons/7/72/Coconut_Tree_On_Beach_in_Barbados.jpg,https://commons.wikimedia.org/wiki/File%3ACoconut%20Tree%20On%20Beach%20in%20Barbados.jpg,Wikimedia Commons / Cocos nucifera,Barry haynes,CC BY-SA 4.0,1280x914,ef37adff9d8fd61afb755036ed5b1a13fb706accfd463ef17215ecf78a635a0e,YES (per CC/Public Domain license),2026-09-20 03:50:28 UTC,VERIFIED_HEALTHY_PALM_FOLIAGE
healthy_coconut_008.jpg,File:Coconut palm Cocos nucifera St Maarten 2011 6780.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a8/Coconut_palm_Cocos_nucifera_St_Maarten_2011_6780.jpg,https://commons.wikimedia.org/wiki/File%3ACoconut%20palm%20Cocos%20nucifera%20St%20Maarten%202011%206780.jpg,Wikimedia Commons / Cocos nucifera,Paul Harrison,CC BY-SA 4.0,1280x853,d0b624d8dbdd0de74c54f42a28ea6a52d0dd4cbe83d2c72235761d5ad9a73880,YES (per CC/Public Domain license),2026-09-20 03:50:28 UTC,VERIFIED_HEALTHY_PALM_FOLIAGE
healthy_coconut_009.jpg,File:Coconut palm tree and motorcycle.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e1/Coconut_palm_tree_and_motorcycle.jpg,https://commons.wikimedia.org/wiki/File%3ACoconut%20palm%20tree%20and%20motorcycle.jpg,Wikimedia Commons / Cocos nucifera,Oleg Yunakov,CC BY-SA 4.0,1280x960,119cf91bb409a8a7e4790ae39027454a2e9fc32deef1f05f91478c182888592c,YES (per CC/Public Domain license),2026-09-20 03:50:28 UTC,VERIFIED_HEALTHY_PALM_FOLIAGE
healthy_coconut_010.jpg,File:Coconut tree 06264.JPG,https://upload.wikimedia.org/wikipedia/commons/d/dc/Coconut_tree_06264.JPG,https://commons.wikimedia.org/wiki/File%3ACoconut%20tree%2006264.JPG,Wikimedia Commons / Cocos nucifera,Vengolis,CC BY-SA 4.0,1280x853,66aadc6c95d361c958c1278d2fdb2a3518540f731c0a8a461558bb4d911460de,YES (per CC/Public Domain license),2026-09-20 03:50:28 UTC,VERIFIED_HEALTHY_PALM_FOLIAGE
