image_id,source_path,source_dataset,source_url,license,disease_class,annotation_status,annotator_id,annotation_date,mask_path,polygon_path,qc_status,qc_notes,split
BudRootDropping001.jpg,data\processed\coconut_detection_clean\val\images\BudRootDropping001.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud root dropping,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,val
BudRootDropping002.jpg,data\processed\coconut_detection_clean\val\images\BudRootDropping002.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud root dropping,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,val
BudRootDropping003.jpg,data\processed\coconut_detection_clean\val\images\BudRootDropping003.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud root dropping,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,val
BudRootDropping004.jpg,data\processed\coconut_detection_clean\val\images\BudRootDropping004.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud root dropping,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,val
BudRootDropping005.jpg,data\processed\coconut_detection_clean\val\images\BudRootDropping005.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud root dropping,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,val
BudRootDropping006.jpg,data\processed\coconut_detection_clean\val\images\BudRootDropping006.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud root dropping,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,val
BudRootDropping007.jpg,data\processed\coconut_detection_clean\val\images\BudRootDropping007.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud root dropping,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,val
BudRootDropping008.jpg,data\processed\coconut_detection_clean\val\images\BudRootDropping008.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud root dropping,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,val
BudRootDropping009.jpg,data\processed\coconut_detection_clean\train\images\BudRootDropping009.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud root dropping,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,train
BudRootDropping010.jpg,data\processed\coconut_detection_clean\train\images\BudRootDropping010.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud root dropping,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,train
BudRootDropping011.jpg,data\processed\coconut_detection_clean\train\images\BudRootDropping011.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud root dropping,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,train
BudRootDropping012.jpg,data\processed\coconut_detection_clean\train\images\BudRootDropping012.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud root dropping,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,train
BudRootDropping013.jpg,data\processed\coconut_detection_clean\train\images\BudRootDropping013.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud root dropping,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,train
BudRootDropping014.jpg,data\processed\coconut_detection_clean\train\images\BudRootDropping014.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud root dropping,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,train
BudRootDropping015.jpg,data\processed\coconut_detection_clean\train\images\BudRootDropping015.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud root dropping,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,train
BudRootDropping016.jpg,data\processed\coconut_detection_clean\train\images\BudRootDropping016.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud root dropping,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,train
BudRootDropping017.jpg,data\processed\coconut_detection_clean\test\images\BudRootDropping017.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud root dropping,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,test
BudRootDropping018.jpg,data\processed\coconut_detection_clean\test\images\BudRootDropping018.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud root dropping,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,test
BudRootDropping019.jpg,data\processed\coconut_detection_clean\test\images\BudRootDropping019.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud root dropping,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,test
BudRootDropping020.jpg,data\processed\coconut_detection_clean\test\images\BudRootDropping020.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud root dropping,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,test
BudRot001.jpg,data\processed\coconut_detection_clean\val\images\BudRot001.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud rot,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,val
BudRot002.jpg,data\processed\coconut_detection_clean\val\images\BudRot002.jpg,Roboflow_Phanidhar_Reddy_Mendeley_Benchmark,https://universe.roboflow.com/phanidhar-reddy/coconut-tree-disease-vg85j,CC BY 4.0,bud rot,PENDING,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,PENDING,Awaiting certified expert manual polygon annotation,val
